date,text,link
2017-11-27 12:06,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6402672977.html
2017-11-27 12:03,Junior Architect/ Draftsperson,https://newyork.craigslist.org/mnh/egr/d/junior-architect-draftsperson/6402667736.html
2017-11-27 11:53,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6402649914.html
2017-11-27 11:40,POLARIZED LIGHT MICROSCOPY (PLM) ASBESTOS LAB TECHNICIAN,https://newyork.craigslist.org/que/egr/d/polarized-light-microscopy/6402625039.html
2017-11-27 11:20,AutoCAD PM/Drafting Positions for Site Safety Plans,https://newyork.craigslist.org/mnh/egr/d/autocad-pm-drafting-positions/6402589776.html
2017-11-27 10:54,Structural Engineer,https://newyork.craigslist.org/brk/egr/d/structural-engineer/6402547128.html
2017-11-27 10:36,Associate Project Manager,https://newyork.craigslist.org/mnh/egr/d/associate-project-manager/6402517884.html
2017-11-27 10:29,Lead Designer,https://newyork.craigslist.org/mnh/egr/d/lead-designer/6402506981.html
2017-11-27 09:20,Mechanical Engineer Wanted,https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6402411279.html
2017-11-26 17:01,New York City Building Permit Expeditor Supervisor,https://newyork.craigslist.org/brk/egr/d/new-york-city-building-permit/6401758068.html
2017-11-26 15:32,NEED TO LEGALIZE BASEMENT BACK HOUSE /,https://newyork.craigslist.org/brk/egr/d/need-to-legalize-basement/6401641018.html
2017-11-25 23:50,Estimator / Project Manager,https://newyork.craigslist.org/brk/egr/d/estimator-project-manager/6400930083.html
2017-11-25 22:45,Drafting help needed,https://newyork.craigslist.org/mnh/egr/d/drafting-help-needed/6400889463.html
2017-11-24 18:11,Project Manager (Construction),https://newyork.craigslist.org/mnh/egr/d/project-manager-construction/6399384203.html
2017-11-24 17:14,Junior Revit Architect,https://newyork.craigslist.org/mnh/egr/d/junior-revit-architect/6399318179.html
2017-11-24 15:56,"Architect, Intermediate",https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6399220698.html
